ParticipantId,QuestionId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Exam Difficulty,Cognitive Load Level
1,1,180,11113,2090,1236,2050,7723,4619,2311,695,36.95,1,1
1,1,181,9179,5565,2137,6214,8115,3363,2784,1686,13.95,1,1
1,1,182,12427,5989,1892,7553,5228,2540,4743,2422,12.88,1,2
1,1,183,2409,23718,856,1015,6091,3469,1180,1229,38.96,1,1
1,1,184,2230,7811,2304,3253,6117,6738,2729,1570,39.17,1,1
1,1,185,433,6353,2230,5235,3855,2553,1934,505,22.76,1,1
1,1,186,13399,9720,4700,9953,5582,3665,1549,2382,63.95,1,1
1,1,187,6447,23719,3182,7416,7097,5400,2701,1678,28.81,1,2
1,1,188,3991,9866,5078,8435,12168,5316,2442,1498,36.29,1,1
1,1,189,36142,20478,1703,5589,3249,5560,3667,966,33.68,1,0
1,1,190,2679,37612,4691,568,7845,6812,2011,923,42.27,1,1
1,1,191,6473,19788,8680,7119,11454,3621,1740,1804,22.22,1,2
1,1,192,9122,11352,7870,2143,4567,5300,7207,805,52.75,1,1
1,1,193,8845,6139,3954,4030,3982,3404,2755,1107,18.26,1,1
1,1,194,4940,50080,4142,10448,8601,4064,4818,1124,33.43,1,1
1,1,195,15088,16213,10217,8374,4911,7310,2769,1182,28.4,1,0
1,1,196,6566,62703,7521,7468,1239,2308,3483,1207,26.62,1,1
1,1,197,5461,8066,5417,7799,7942,6359,2518,1243,38.75,1,1
1,1,198,4361,7793,13937,6670,7978,2954,1783,693,23.66,1,1
1,1,199,4170,3365,956,8576,11236,3159,2984,686,27.55,1,1
1,1,200,2826,34963,2477,2665,7603,7521,1522,1467,39.59,1,1
1,1,201,19087,7211,461,7740,8037,5212,5224,2286,30.73,1,0
1,1,202,14339,13092,5725,3440,5579,1295,2923,1532,26.4,1,2
1,1,203,4063,10417,60,2487,7563,3423,1387,657,29.24,1,1
1,1,204,10920,24103,5862,3861,11296,2401,1345,1281,29.17,1,0
1,1,205,11778,17307,2497,561,4963,2464,2108,1067,39.57,1,1
1,1,206,3493,12472,5090,1131,5341,447,1241,577,40.94,1,1
1,1,207,26131,9605,4450,3815,8673,6472,2225,1097,39.48,1,1
1,1,208,33793,32944,24875,15845,5175,4578,1389,718,20.46,1,1
1,1,209,5431,23524,7902,1018,20697,7150,7211,1172,25.44,1,1
1,1,210,4056,17804,2252,1253,3843,4407,2059,1398,29.27,1,1
1,1,211,19657,7072,4221,2990,6060,5159,1323,568,43.53,1,1
1,1,212,9929,8754,4086,151,4327,2776,1739,2057,22.96,1,2
1,1,213,6372,7286,2363,9601,11986,3952,2335,952,34.09,1,0
1,1,214,29485,10722,11765,5217,9253,4275,1342,1336,32.48,1,1
1,1,215,3821,6100,12527,1496,3533,1707,2114,968,48.88,1,1
1,1,216,1589,22259,6448,2649,5200,3411,3710,2600,36.83,1,1
1,1,217,16154,3224,6081,2610,6814,4323,2175,1193,27.39,1,1
1,1,218,12175,8957,4946,6942,2375,2513,2830,951,25.75,1,2
1,1,219,8079,22858,10120,3888,17001,3939,5988,1210,18.59,1,2
1,1,220,23651,15751,3367,5488,4791,4267,2523,741,21.22,1,2
1,1,221,18923,14200,2052,796,3958,1934,1964,876,42.2,1,0
1,1,222,26147,6934,13527,10022,1726,4049,825,396,37.23,1,1
1,1,223,9849,7104,1825,5969,2135,1661,2774,616,34.05,1,2
1,1,224,1673,13910,3081,7019,5156,2529,885,1310,37.49,1,1
1,1,225,8099,34240,3026,4427,4629,2168,3459,1172,37.98,1,1
1,1,226,4222,10914,8282,6233,8265,4010,1647,2000,40.14,1,1
1,1,227,7848,3674,5464,8037,9837,2309,4660,709,23.23,1,1
1,1,228,4347,13488,4461,1265,2243,766,1012,518,45.28,1,1
1,1,229,12360,6738,3405,2204,11532,7870,1664,999,41,1,1
1,1,230,269,22161,2159,2601,9097,2987,2576,1222,34.31,1,1
1,1,231,227,9271,7536,2763,3972,3428,3701,1446,27.39,1,1
1,1,232,5431,23524,7902,1018,20697,7150,7211,1172,25.44,1,1
1,1,233,2060,5733,2040,6024,4387,3468,1243,298,24.63,1,1
