ParticipantId,TrialId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Level
1,2,83,22212,81849,7079,6793,4139,4353,1761,793,30.43,0
1,2,84,35960,17509,1395,9699,4076,5043,3193,2038,25.71,0
1,2,85,21202,3270,135,9307,5450,6935,8514,1658,29.79,0
1,2,86,8942,7690,1849,15933,6778,5002,4245,626,31.23,0
1,2,87,3798,25583,972,7802,5477,3000,1307,1068,28.92,0
1,2,88,18887,19464,2422,1206,4955,3739,2346,2144,26.26,0
1,2,89,58734,41086,10514,24940,8585,5338,4086,978,45.29,0
1,1,1,4486,17527,7876,4646,8600,3522,2533,1309,55.11,1
1,1,2,2873,3521,1614,3969,5700,6294,1846,1345,38.42,1
1,1,3,2131,18700,5486,2913,3184,2303,3026,2181,32.06,1
1,1,4,4059,14617,5355,3985,11115,2245,2002,686,32.74,1
1,1,5,2927,19115,1232,3106,5776,2646,1276,812,32.32,1
1,1,6,234,15610,655,2306,8206,2096,2086,1602,34.19,1
1,1,7,5118,12453,3053,883,3741,3207,1895,1396,25.83,1
1,1,8,12236,19230,10749,10135,4368,6567,3700,689,28.35,1
1,1,9,16244,13805,4987,5474,10339,4269,3049,969,26.03,1
1,1,10,12678,11969,2618,5027,10644,7171,1900,1183,42.86,1
1,1,11,17930,19857,14207,3924,6941,3366,2369,1349,12.58,1
1,1,12,5823,4500,5215,5333,7804,4832,1511,545,36.95,1
1,1,13,10737,24504,3007,11115,3960,4916,3189,1369,32.38,1
1,1,14,11092,17275,3596,7749,8741,2981,2067,1000,27.58,1
1,1,15,18548,11341,6810,3179,10092,3171,1244,1274,40.58,1
1,1,16,1939,12904,2934,2093,11997,2883,4948,1012,25.56,1
1,1,17,4632,4606,573,5228,6929,3619,4098,1175,28.83,1
1,1,18,10256,21616,2917,644,6512,3248,1622,687,31.74,1
1,1,19,3904,11968,7838,14632,7599,4502,2774,726,33.78,1
1,1,20,13944,2977,7215,2840,7073,4476,1868,2041,24.69,1
1,1,21,11062,6826,985,7131,5364,3227,3834,1978,10.89,1
1,1,22,8126,5949,3905,7737,7145,4059,2643,2056,12.91,1
1,1,23,5099,19130,5820,11831,7177,4367,2243,1377,34.32,1
1,1,24,4146,14599,4735,6864,12835,7251,3064,702,46.59,1
1,1,25,3006,23617,6148,1831,21340,4615,8617,762,20.65,1
1,1,26,10819,13500,4293,1066,5274,1191,1801,772,15.67,1
1,1,27,16198,49044,6921,1503,7627,3656,5247,765,27.09,1
1,1,28,20349,37554,12292,1397,10684,3565,1887,1006,32.23,1
1,1,29,6495,4201,3687,5510,4946,4572,3267,2070,12.15,1
1,1,30,27110,31816,8165,1338,9949,3106,1699,951,32.83,1
1,1,31,2554,18802,5022,2369,3906,3227,2640,2423,41.63,1
1,1,32,3989,5500,2090,4653,6328,4291,2656,1357,35.33,1
1,1,33,6558,5947,5008,3894,9556,3845,2672,666,31.29,1
1,1,34,4175,4968,3392,4259,4804,5856,1865,1292,39.78,1
1,1,35,4951,5869,2959,5219,4207,6552,1944,129,31.83,1
1,1,36,5271,4528,3258,1601,3918,2328,1295,384,45.94,1
1,1,37,4311,9219,11530,2294,3633,2111,899,803,44.16,1
1,1,38,10745,31835,4556,3698,6673,3078,5348,1060,20.54,1
1,1,39,4593,26706,2450,3010,3560,2801,1609,700,33.36,1
1,1,40,17133,11339,2098,4483,4091,4751,1284,1315,33.42,1
1,1,41,15981,37291,2406,5615,8236,2867,5465,1302,29.99,1
1,1,42,31223,8878,11302,6150,9678,4057,1612,1167,28.1,1
1,1,43,3363,6422,11618,3751,4361,4157,8280,476,47.83,1
1,1,44,11559,4371,2110,2529,8779,4105,4133,545,20.24,1
1,1,45,26910,25394,2662,2315,7306,5050,3250,1416,27.93,1
1,1,46,11329,7523,10865,3591,9132,3683,742,2614,30.31,1
1,1,47,6000,10702,4844,831,3373,5482,3896,1748,24.46,1
1,1,48,5048,6736,10469,1838,3704,2286,831,796,48.74,1
1,1,49,2417,19192,3298,6524,9843,6564,4117,597,39.65,1
1,1,50,4493,8414,3411,1846,5152,1673,2064,655,44,1
1,1,51,2409,20668,9651,3188,14404,6162,3736,843,21.6,1
1,1,52,5686,10665,9633,11436,7054,2443,1426,789,32.3,1
1,1,53,12300,15970,5202,4855,10038,3536,3194,1518,25.67,1
1,1,54,6483,5185,4060,1148,4651,2449,1968,1472,54.6,1
1,1,55,3761,8524,6407,6402,3563,4480,2603,826,31.47,1
1,1,56,10948,10143,3575,4654,3228,3312,2039,892,50.23,1
1,1,57,5226,8331,2846,2685,7713,5865,4118,2492,32.85,1
1,1,58,9505,18733,3239,1306,4349,2789,1279,1128,15,1
1,1,59,4913,27967,5959,8870,1669,6895,3285,1413,36.9,1
1,1,60,10349,4331,5246,2512,3477,3089,4059,719,21.4,1
1,1,61,7133,6800,7819,2115,4990,3060,5738,765,55.67,1
1,1,62,35613,21938,14779,6063,14571,3456,1401,1075,11.55,1
1,1,63,7401,13206,5428,1310,3706,1675,2395,1172,16.01,1
1,1,64,4770,21490,5153,6563,10430,5936,3780,757,44.79,1
1,1,65,10124,20687,2908,207,5238,2032,1805,1077,34.33,1
1,1,66,5482,5890,341,3219,8105,2935,2658,1444,34.14,1
1,1,67,5686,10665,9633,11436,7054,2443,1426,789,32.3,1
1,1,68,11731,14880,4249,4076,2649,2171,1941,905,30.83,1
1,1,69,11664,14803,2365,9223,6193,3877,1392,1860,39.75,1
1,1,70,107910,44689,9664,4930,10064,2650,2009,1082,25.08,1
1,1,71,1953,15841,8680,5028,12572,5550,2626,1264,22.78,1
1,1,72,6800,25285,3997,3446,1625,3228,1099,1340,50.68,1
1,1,73,10882,15662,1751,4330,8253,1632,1317,712,29.23,1
1,1,74,11695,11652,6336,3441,6007,6189,3074,1029,32.17,1
1,1,75,2526,7773,3445,2032,7895,4454,3512,1261,35.12,1
1,2,1,6066,26706,1350,3212,3522,2577,948,711,32.5,1
1,2,2,3880,4079,6096,6767,7785,6514,2834,1335,37.08,1
1,2,3,5715,11909,2513,8091,4971,3948,3572,543,33.32,1
1,2,4,6190,14792,1002,1755,5734,5219,1026,626,20.34,1
1,2,5,5063,1055,4954,2998,8191,1386,2539,238,31.7,1
1,2,6,9289,11615,8801,2840,7265,3639,3868,688,19.9,1
1,2,7,31852,14581,11649,10661,2942,3778,819,897,46.23,1
1,2,8,11597,5229,1654,5960,10096,3573,3585,1399,17.07,1
1,2,9,5191,10176,3912,5599,6036,4169,3170,689,32.56,1
1,2,10,3450,34655,7407,1621,24188,4257,8250,804,32.43,1
1,2,11,23829,11453,4270,2791,8383,5172,2208,1393,48.13,1
1,2,12,5468,64418,330,1337,5898,6005,1484,1010,37.42,1
1,2,13,10664,59008,9196,966,8041,5095,7545,881,22,1
1,2,14,2902,10318,6916,5508,6274,5183,1711,1794,35.59,1
1,2,15,2952,7760,2459,1651,11602,3280,3815,1116,26.13,1
1,2,16,4622,5292,11256,5698,7388,2613,2428,701,23.76,1
1,2,17,20631,20802,14119,5253,7453,3139,1762,948,11.76,1
1,2,18,11226,6476,4848,6941,8270,5251,2453,1693,14.93,1
1,2,19,9280,14104,2513,1319,7756,3032,1012,668,31.5,1
1,2,20,17918,25391,16059,3934,11255,2786,3022,1495,12.28,1
1,2,21,3685,10513,1161,4898,8360,4229,3085,873,31.12,1
1,2,22,13315,29561,2639,4193,4703,2042,4645,923,24.81,1
1,2,23,4802,9144,6285,4151,5749,4236,1658,682,27.35,1
1,2,24,33517,10280,2813,13163,6658,2646,1704,1433,14.17,1
1,2,25,10745,31835,4556,3698,6673,3078,5348,1060,20.54,1
1,2,26,10253,17749,5510,6998,9771,2935,2562,1171,19.54,1
1,2,27,14940,17272,9167,4161,7773,8364,1833,1390,30.79,1
1,2,28,4055,23366,10463,2363,5259,3904,3766,836,19.95,1
1,2,29,4372,11940,2669,4468,7526,3567,2336,318,33.13,1
1,2,30,6950,4140,1475,5444,4936,2778,4592,2654,12.41,1
1,2,31,6899,9717,2625,1329,8823,2311,1932,334,28.56,1
1,2,32,4090,2918,2861,8372,3328,8396,3841,796,33.34,1
1,2,33,15931,3479,493,2199,7718,5675,1787,845,37.09,1
1,2,34,20092,38586,13641,2995,10458,3841,2550,1064,34.16,1
1,2,35,15253,6188,2094,3189,11664,4291,2465,454,20.28,1
1,2,36,6464,4551,7725,2536,7490,4481,7634,888,46.36,1
1,2,37,2975,14786,1739,2914,4358,1802,979,1060,33.89,1
1,2,38,6999,26534,5066,8736,2483,4246,2839,1527,29.43,1
1,2,39,4970,15032,9429,5180,5227,1303,260,1316,20.95,1
1,2,40,1622,23245,5375,4823,3407,3846,3453,884,29.78,1
1,2,41,5334,2967,5354,2436,10685,1336,2597,356,32.15,1
1,2,42,4137,9727,10003,2541,4789,2929,841,718,45.7,1
1,2,43,6361,17571,7641,6345,9131,5225,1631,749,49.47,1
1,2,44,4478,4114,979,2316,8767,6565,788,1020,27.41,1
1,2,45,19205,28753,4231,19678,12940,5346,7817,1419,20.09,1
1,2,46,8164,8413,4297,4142,7693,3226,3527,777,34.27,1
1,2,47,14101,24866,1589,13512,4209,4136,3120,1310,38.28,1
1,2,48,5774,2553,4832,1816,3969,5641,3433,946,25.33,1
1,2,49,9380,8186,3300,450,5510,2305,1218,738,33.66,1
1,2,50,11970,3141,3235,3145,10266,4785,1658,450,31.14,1
1,2,51,3912,6607,5601,1509,5464,1961,1833,1134,54.25,1
1,2,52,119263,46393,7970,6238,7584,3494,2521,1164,26.2,1
1,2,53,5279,123363,11862,24437,3829,1835,1467,782,11.04,1
